Дисциплина	Топ.анатомия и оперативная. хирургия	Педиатрия	Мед-на экстрем.   ситуаций	Внутренние              болезни	История медицины	Неврология и	Хирургич.	Анестезиология и  реаниматолог.	Акушерство и	Дерматовене-	Оториноларингология	Судебная медицина	Фтизиопуль-	Поликклин.
						нейрохир.	болезни		гинекология	рология			монология	терапия
 Время:   12.35-17.25   (12.35-16.40 : топографическая анатомия и оперативная хирургия, судебная медицина, неврология и нейрохирургия, педиатрия, акушерство и гинекологи )														
        База	Уч.корп.5	2 ГДКБ	Машерова,26	9 ГКБ	Ленинградская,6	По расписанию	10 ГКБ	По расписанию	По расписанию	Кож.вен.дисп.	По расписанию	По расписанию	РНПЦ	По расписанию
№ гр.	Дзержинского,83	Нарочан-ская,		Семашко,8		кафедры	Уборевича,	кафедры	кафедры	Прилукск.	кафедры	кафедры	Долгиновский тракт,152	кафедры
		17					73			46а				
Л 433	16-27.12	28.12-06.01	21-28.10	01-13.09	14-15.12	23.09-04.10	 14-22.09	05-12.10	23.11-01.12	14-22.11	02-13.12	08-11.11	31.10-04.11	13-20.10
Л 434	16-27.12	28.12-06.01	21-28.10	01-13.09	14-15.12	23.09-04.10	 14-22.09	05-12.10	23.11-01.12	14-22.11	02-13.12	08-11.11	31.10-04.11	13-20.10
Л 435	25.10-03.11	15-24.11	04-14.11	27.12-06.01	11-12.10	01-12.09	25.11-05.12	13-20.09	06-14.12	21-29.09	15-26.12	19-24.10	12-18.10	30.09-07.10
Л 436	25.10-03.11	15-24.11	04-14.11	27.12-06.01	11-12.10	01-12.09	25.11-05.12	13-20.09	06-14.12	21-29.09	15-26.12	19-24.10	12-18.10	30.09-07.10
Л 437	23.11-02.12	16-27.12	01-08.09	16-28.09	05-06.12	05-14.10	07-15.12	15-22.11	17-25.10	26.10-03.11	28.12-06.01	29.09-04.10	09-15.09	04-14.11
Л 438	23.11-02.12	16-27.12	01-08.09	16-28.09	05-06.12	05-14.10	07-15.12	15-22.11	17-25.10	26.10-03.11	28.12-06.01	29.09-04.10	09-15.09	04-14.11
Л 439	14-23.09	06-15.12	05-12.10	13-25.10	12-13.09	16-25.11	23.09-04.10	28.11-05.12	16-26.12	01-09.09	03-15.11	03-06.01	27.12-02.01	26.10-02.11
Л 440	14-23.09	06-15.12	05-12.10	13-25.10	12-13.09	16-25.11	23.09-04.10	28.11-05.12	16-26.12	01-09.09	03-15.11	03-06.01	27.12-02.01	26.10-02.11
Л 441	08-17.11	26.10-04.11	12-19.12	30.09-12.10	13-14.10	30.11-09.12	20-28.12	22-29.09	29.12-06.01	17-25.10	18-29.11	08-13.09	01-07.01	14-21.09
Л 442	08-17.11	26.10-04.11	12-19.12	30.09-12.10	13-14.10	30.11-09.12	20-28.12	22-29.09	29.12-06.01	17-25.10	18-29.11	08-13.09	01-07.01	14-21.09
Л 443	28.12-06.01	14-25.10	20-27.09	13-23.12	26-27.12	26.10-04.11	08-16.11	01-08.09	09-19.09	05-13.10	01-12.12	17-22.11	28.09-04.10	23-30.11
Л 444	28.12-06.01	14-25.10	20-27.09	01-13.12	26-27.12	26.10-04.11	08-16.11	01-08.09	09-19.09	05-13.10	14-23.12	17-22.11	28.09-04.10	23-30.11
Л 445	08-19.12	07-16.09	21-28.11	08-18.11	19-20.09	28.12-06.01	07-17.10	07-17.10	28.09-06.10	29.11-07.12	18-27.10	01-06.09	21-27.09	20-27.12
Л 446	08-19.12	07-16.09	21-28.11	08-18.11	19-20.09	28.12-06.01	07-17.10	07-17.10	28.09-06.10	29.11-07.12	18-27.10	01-06.09	21-27.09	20-27.12
